MUNICIPALITY,FARM TYPE,YEAR,MONTH,CROP,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha)
BAKUN,IRRIGATED,2015,FEB,CHINESE CABBAGE,34.32,5,55,11
BAKUN,IRRIGATED,2015,MAR,CHINESE CABBAGE,35.2,15.68,392,25
BAKUN,IRRIGATED,2015,APR,CHINESE CABBAGE,77,34.32,858,25
BAKUN,IRRIGATED,2015,MAY,CHINESE CABBAGE,87,35.2,880,25
BAKUN,IRRIGATED,2015,JUN,CHINESE CABBAGE,5,77,1925,25
BAKUN,IRRIGATED,2015,JUL,CHINESE CABBAGE,5,87,2175,25
BAKUN,IRRIGATED,2015,AUG,CHINESE CABBAGE,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,CHINESE CABBAGE,54,5,55,11
BAKUN,IRRIGATED,2015,OCT,CHINESE CABBAGE,55,5,55,11
BAKUN,IRRIGATED,2015,NOV,CHINESE CABBAGE,34,54,1350,25
BAKUN,IRRIGATED,2015,DEC,CHINESE CABBAGE,26.78,55,1375,25
BAKUN,IRRIGATED,2015,JAN,LETTUCE,0.09,5,55,11
BAKUN,IRRIGATED,2015,FEB,LETTUCE,3,5,55,11
BAKUN,IRRIGATED,2015,MAR,LETTUCE,3.25,0.09,0.9,10
BAKUN,IRRIGATED,2015,APR,LETTUCE,2,3,30,10
BAKUN,IRRIGATED,2015,MAY,LETTUCE,2,3.25,32.5,10
BAKUN,IRRIGATED,2015,JUN,LETTUCE,5,2,20,10
BAKUN,IRRIGATED,2015,JUL,LETTUCE,5,2,20,10
BAKUN,IRRIGATED,2015,AUG,LETTUCE,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,LETTUCE,3,5,55,11
BAKUN,IRRIGATED,2015,OCT,LETTUCE,2,5,55,11
BAKUN,IRRIGATED,2015,NOV,LETTUCE,2,3,30,10
BAKUN,IRRIGATED,2015,DEC,LETTUCE,2.11,2,20,10
BAKUN,IRRIGATED,2015,JAN,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,FEB,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,MAR,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,APR,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,MAY,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,JUN,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,JUL,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,AUG,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,CAULIFLOWER,5,5,55,11
